Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2023M07;63.117
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2023M06;67.455
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2023M05;64.138
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2023M04;67.647
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2023M03;54.526
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2023M02;52.550
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2023M01;51.365
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2022M12;67.453
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2022M11;57.602
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2022M10;61.239
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2022M09;59.270
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2022M08;53.366
Total Nacional;13 Madrid, Comunidad de;Total ;;Viajero;2022M07;55.561
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2023M07;211.756
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2023M06;214.048
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2023M05;211.738
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2023M04;221.780
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2023M03;189.185
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2023M02;170.426
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2023M01;170.368
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2022M12;201.435
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2022M11;182.224
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2022M10;206.409
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2022M09;195.902
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2022M08;194.627
Total Nacional;13 Madrid, Comunidad de;Total ;;Pernoctaciones;2022M07;199.367
