Puntos turísticos;Establecimientos y personal empleado (plazas);Periodo;Total
28079 Madrid;Grado de ocupación por habitaciones;2022M12;61,47
28079 Madrid;Grado de ocupación por habitaciones;2022M11;73,95
28079 Madrid;Grado de ocupación por habitaciones;2022M10;80,17
28079 Madrid;Grado de ocupación por habitaciones;2022M09;76,24
28079 Madrid;Grado de ocupación por habitaciones;2022M08;55,80
28079 Madrid;Grado de ocupación por habitaciones;2022M07;64,58
28079 Madrid;Grado de ocupación por habitaciones;2022M06;76,31
28079 Madrid;Grado de ocupación por habitaciones;2022M05;75,38
28079 Madrid;Grado de ocupación por habitaciones;2022M04;70,22
28079 Madrid;Grado de ocupación por habitaciones;2022M03;64,47
28079 Madrid;Grado de ocupación por habitaciones;2022M02;56,16
28079 Madrid;Grado de ocupación por habitaciones;2022M01;42,43
